姓名 高数 Java 数据结构 平均成绩 总成绩
张三77 26 38 74 46 138
张三27 82 3 81 55 166
张三31 6 83 29 39 118
张三50 29 15 62 35 106
张三90 17 20 70 35 107
张三94 74 47 12 44 133
张三73 85 47 23 51 155
张三37 18 83 41 47 142
张三19 95 67 0 54 162
张三56 26 26 7 19 59
张三95 35 72 4 37 111
张三92 44 14 4 20 62
张三76 69 57 4 43 130
张三43 95 64 22 60 181
张三74 20 45 64 43 129
张三65 35 82 77 64 194
张三84 92 68 86 82 246
张三75 26 42 86 51 154
张三69 70 13 4 29 87
张三66 46 35 30 37 111
张三95 48 60 56 54 164
张三83 45 25 55 41 125
张三92 4 43 96 47 143
张三37 31 65 64 53 160
张三14 10 26 36 24 72
张三36 21 76 41 46 138
张三99 33 74 36 47 143
张三63 14 73 87 58 174
张三77 2 57 68 42 127
张三44 58 0 57 38 115
张三64 99 16 32 49 147
张三70 15 5 46 22 66
张三33 34 84 92 70 210
张三71 61 71 39 57 171
张三78 7 40 71 39 118
张三65 66 82 48 65 196
张三76 44 33 20 32 97
张三15 28 87 83 66 198
张三34 93 13 30 45 136
张三73 87 95 34 72 216
张三83 98 52 86 78 236
张三4 14 10 66 30 90
张三30 82 32 60 58 174
张三5 61 0 50 37 111
张三6 18 56 92 55 166
张三61 26 37 81 48 144
张三57 76 92 16 61 184
张三24 54 78 61 64 193
张三68 53 46 21 40 120
张三80 88 53 43 61 184
张三18 41 57 64 54 162
张三52 40 94 65 66 199
张三9 83 33 60 58 176
张三69 37 13 23 24 73
张三16 25 73 29 42 127
张三65 76 14 56 48 146
张三41 68 53 76 65 197
张三17 88 7 51 48 146
张三81 64 72 21 52 157
张三29 78 35 81 64 194
张三47 24 78 12 38 114
张三13 28 61 42 43 131
张三70 29 24 0 17 53
张三31 43 61 46 50 150
张三0 55 17 34 35 106
张三94 89 13 93 65 195
张三93 59 81 27 55 167
张三45 74 96 21 63 191
张三16 94 19 92 68 205
张三52 36 24 7 22 67
张三27 30 65 45 46 140
张三98 61 86 85 77 232
张三23 18 56 38 37 112
张三56 43 68 79 63 190
张三45 17 54 50 40 121
张三63 53 73 80 68 206
张三84 67 22 62 50 151
张三46 84 62 17 54 163
张三39 88 5 93 62 186
张三60 85 0 1 28 86
张三15 28 97 72 65 197
张三40 5 63 28 32 96
张三57 92 75 67 78 234
张三83 6 32 91 43 129
张三64 34 39 1 24 74
张三3 19 12 24 18 55
张三28 79 91 31 67 201
张三28 55 21 77 51 153
张三89 21 38 62 40 121
张三39 82 49 7 46 138
张三11 10 5 20 11 35
张三57 43 87 12 47 142
张三97 7 89 18 38 114
张三43 81 64 72 72 217
张三26 7 98 82 62 187
张三55 75 53 53 60 181
张三71 23 42 11 25 76
张三76 15 30 84 43 129
张三11 92 82 9 61 183
张三26 82 90 43 71 215
张三72 64 57 97 72 218
张三97 88 66 75 76 229
张三55 55 33 97 61 185
张三85 2 6 46 18 54
张三25 99 46 49 64 194
张三18 81 81 16 59 178
张三69 20 38 96 51 154
张三83 54 60 63 59 177
张三68 2 17 61 26 80
张三22 53 53 8 38 114
张三20 45 67 86 66 198
张三32 74 19 11 34 104
张三6 29 1 17 15 47
张三99 16 87 50 51 153
张三11 9 48 47 34 104
张三61 39 28 93 53 160
张三14 30 87 67 61 184
张三47 27 2 26 18 55
张三27 37 89 60 62 186
张三75 52 33 12 32 97
张三44 4 34 66 34 104
张三85 73 9 64 48 146
张三15 15 91 90 65 196
张三43 22 12 88 40 122
张三86 79 0 21 33 100
张三41 59 8 16 27 83
张三40 43 97 9 49 149
张三86 93 65 22 60 180
张三38 52 39 95 62 186
张三48 96 77 18 63 191
张三69 69 53 1 41 123
张三2 79 9 51 46 139
张三19 39 13 25 25 77
张三8 89 90 60 79 239
张三42 74 95 99 89 268
张三81 43 27 56 42 126
张三94 90 86 98 91 274
张三75 23 9 40 24 72
张三55 28 44 14 28 86
张三65 85 26 69 60 180
张三49 20 24 37 27 81
张三2 61 22 34 39 117
张三40 3 33 93 43 129
张三94 65 55 18 46 138
张三71 94 66 47 69 207
张三3 17 47 36 33 100
张三59 57 40 62 53 159
张三97 47 22 80 49 149
张三78 39 26 70 45 135
张三78 64 82 28 58 174
张三84 64 57 6 42 127
张三73 76 74 77 75 227
张三60 1 47 99 49 147
张三68 10 26 17 17 53
张三4 35 56 33 41 124
张三14 65 81 64 70 210
张三65 33 87 6 42 126
张三54 99 37 94 76 230
张三12 66 98 71 78 235
张三14 28 79 73 60 180
张三93 31 68 22 40 121
张三93 90 68 64 74 222
张三14 87 39 56 60 182
张三26 13 13 50 25 76
张三43 94 45 38 59 177
张三6 64 41 9 38 114
张三26 36 76 43 51 155
张三4 94 48 39 60 181
张三64 39 48 51 46 138
张三91 99 95 6 66 200
张三92 35 89 16 46 140
张三91 49 74 63 62 186
张三58 34 37 38 36 109
张三92 75 70 80 75 225
张三86 90 30 19 46 139
张三96 0 78 56 44 134
张三87 89 30 69 62 188
张三97 57 72 27 52 156
张三36 86 1 86 57 173
张三10 47 15 85 49 147
张三35 67 49 51 55 167
张三90 99 69 56 74 224
张三33 22 79 91 64 192
张三15 60 42 27 43 129
张三71 51 37 11 33 99
张三25 23 72 5 33 100
张三67 29 36 93 52 158
张三35 60 54 41 51 155
张三69 25 91 9 41 125
张三68 27 39 79 48 145
张三37 27 2 13 14 42
张三76 58 77 83 72 218
张三27 26 67 93 62 186
张三48 64 71 63 66 198
张三94 72 19 96 62 187
张三9 97 73 21 63 191
张三42 93 2 75 56 170
张三80 55 34 53 47 142
张三65 40 46 6 30 92
张三40 36 93 3 44 132
张三91 98 5 67 56 170
张三5 63 62 58 61 183
张三97 95 52 6 51 153
张三28 40 44 10 31 94
张三61 71 69 13 51 153
张三85 7 95 36 46 138
张三85 4 57 76 45 137
张三86 19 9 71 33 99
张三83 5 55 2 20 62
张三33 43 96 83 74 222
张三32 30 64 15 36 109
张三29 69 73 60 67 202
张三26 61 85 73 73 219
张三88 71 0 66 45 137
张三81 68 38 69 58 175
张三10 60 12 52 41 124
张三82 42 15 89 48 146
张三23 22 48 5 25 75
张三74 68 78 61 69 207
张三0 27 76 72 58 175
张三20 79 20 17 38 116
张三9 63 46 2 37 111
张三2 98 32 38 56 168
张三54 12 43 91 48 146
张三29 79 54 69 67 202
张三1 88 12 20 40 120
张三67 89 7 14 36 110
张三22 2 72 18 30 92
张三24 90 23 54 55 167
张三82 20 52 98 56 170
张三37 25 25 45 31 95
张三51 24 10 42 25 76
张三55 18 32 88 46 138
张三34 4 16 35 18 55
张三17 18 72 85 58 175
张三27 34 13 72 39 119
张三60 73 49 12 44 134
张三66 12 88 94 64 194
张三10 14 86 83 61 183
张三7 61 18 20 33 99
张三37 62 37 77 58 176
张三62 33 60 81 58 174
张三95 4 49 61 38 114
张三91 51 24 82 52 157
张三54 6 9 29 14 44
张三95 84 29 42 51 155
张三99 51 15 28 31 94
张三92 54 31 74 53 159
张三74 16 47 60 41 123
张三55 94 87 39 73 220
张三76 27 36 73 45 136
张三40 25 81 54 53 160
张三27 78 46 69 64 193
张三46 20 33 44 32 97
张三87 68 31 6 35 105
张三76 64 61 95 73 220
张三89 11 21 78 36 110
张三93 34 73 4 37 111
张三94 30 50 72 50 152
张三93 60 8 65 44 133
张三13 25 38 64 42 127
张三28 34 47 31 37 112
张三35 80 79 0 53 159
张三67 86 73 36 65 195
张三61 54 10 48 37 112
张三73 36 43 65 48 144
张三32 71 45 47 54 163
张三22 96 96 8 66 200
张三97 94 18 87 66 199
张三8 84 35 53 57 172
张三73 59 59 66 61 184
张三97 66 25 68 53 159
张三75 3 94 41 46 138
张三40 42 12 11 21 65
张三26 6 57 61 41 124
张三42 44 57 52 51 153
张三84 26 31 34 30 91
张三49 10 31 98 46 139
张三28 22 85 84 63 191
张三15 46 24 55 41 125
张三0 64 52 88 68 204
张三43 9 54 68 43 131
张三4 93 74 7 58 174
张三18 49 91 32 57 172
张三86 73 9 52 44 134
张三83 3 20 43 22 66
张三67 51 67 35 51 153
张三17 40 13 55 36 108
张三97 16 42 9 22 67
张三19 84 91 55 76 230
张三42 25 31 0 18 56
张三11 66 88 62 72 216
张三40 31 67 74 57 172
张三1 92 40 19 50 151
张三72 37 20 94 50 151
张三89 26 82 50 52 158
张三39 62 21 68 50 151
张三95 7 10 67 28 84
张三50 83 28 83 64 194
张三32 75 47 76 66 198
张三48 3 36 88 42 127
张三75 62 14 12 29 88
张三34 48 91 58 65 197
张三93 68 3 93 54 164
张三73 2 78 51 43 131
张三23 39 6 82 42 127
张三82 18 76 67 53 161
张三36 12 26 92 43 130
张三43 84 7 32 41 123
张三1 88 98 77 87 263
张三78 20 22 90 44 132
张三54 63 89 88 80 240
张三91 32 2 76 36 110
张三35 16 46 96 52 158
张三70 57 67 89 71 213
张三32 28 16 1 15 45
张三80 78 12 8 32 98
张三67 7 69 88 54 164
张三7 77 28 99 68 204
张三98 13 82 90 61 185
张三39 68 68 16 50 152
张三24 20 62 77 53 159
张三83 32 67 1 33 100
张三20 74 35 79 62 188
张三51 28 23 26 25 77
张三48 4 21 6 10 31
张三77 73 7 31 37 111
张三92 18 59 33 36 110
张三42 99 52 57 69 208
张三49 92 68 54 71 214
张三11 36 37 77 50 150
张三56 7 55 30 30 92
张三26 84 78 70 77 232
张三22 26 97 78 67 201
张三92 62 69 0 43 131
张三25 2 71 81 51 154
张三56 56 65 81 67 202
张三72 49 2 20 23 71
张三77 5 78 53 45 136
张三36 25 45 47 39 117
张三19 84 30 92 68 206
张三19 25 43 51 39 119
张三24 86 96 29 70 211
张三5 55 1 3 19 59
张三49 14 22 65 33 101
张三7 42 88 67 65 197
张三67 21 98 87 68 206
张三12 29 50 2 27 81
张三79 71 26 27 41 124
张三86 23 88 24 45 135
张三67 1 24 29 18 54
张三87 4 52 79 45 135
张三5 17 28 14 19 59
张三6 33 35 41 36 109
张三96 46 9 44 33 99
张三28 0 82 61 47 143
张三3 27 8 39 24 74
张三80 97 48 16 53 161
张三0 13 47 98 52 158
张三19 13 54 21 29 88
张三48 25 91 15 43 131
张三63 97 46 30 57 173
张三86 74 49 6 43 129
张三82 14 48 24 28 86
张三82 35 34 85 51 154
张三92 99 51 58 69 208
张三90 49 52 39 46 140
张三22 3 0 29 10 32
张三98 91 61 17 56 169
张三48 49 65 67 60 181
张三78 14 18 12 14 44
张三15 70 94 84 82 248
张三63 66 35 6 35 107
张三84 96 95 20 70 211
张三13 52 76 14 47 142
张三86 94 9 67 56 170
